name;:END_ID(Paper)
L. Gargano;1
P. Hell;1
L. Stacho;1
U. Vaccaro;1
C. Gennaro;2
L. Gargano;2
M. Mecchia;2
A. Rescigno;2
U. Vaccaro;2
V. Scarano;3
G. Cordasco;3
N. Lettieri;3
D. Malandrino;3
I. Manno;3
G. Palmieri;3
A. Petta;3
D. Pirozzi;3
D. Rizzolo;3
L. Serra;3
C. Spagnuolo;3
L. Vicidomini;3
N. Lettieri;4
A. Altamura;4
D. Malandrino;4
V. Punzo;4
F. Ferrucci;5
G. Pacini;5
G. Satta;5
M. Sessa;5
G. Tortora;5
M. Tucci;5
G. Vitiello;5
W. Freeman;6
G. Vitiello;6
R. KozmaEmail;7
M. Puljic;7
P. Balister;7
B. Bollobás;7
W. Freeman;7
B. Bollobás;8
P. Erdös;8
A. Sarkar;8
R. Capocelli;9
M. Sessa;9
R. Capocelli;10
A. De Santis;10
L. Gargano;10
U. Vaccaro;10
G. Chiola;11
G. Cordasco;11
L. Gargano;11
M. Hammar;11
A. Negro;11
V. Scarano;11
G. Scanniello;12
C. Gravino;12
M. Genero;12
J. Cruz-Lemus;12
M. Risi;12
G. Tortora;12
G. Dodero;12
N. Lettieri;13
A. Altamura;13
A. Faggiano;13
D. Malandrino;13
C. Goffman;14
N. Lettieri;15
A. Altamura;15
R. Giugno;15
A. Guarino;15
D. Malandrino;15
A. Pulvirenti;15
F. Vicidomini;15
R. Zaccagnino;15
G. Iovane;16
A. Amorosia;16
M. Leone;16
M. Nappi;16
G. Tortora;16
F. Carrabs;17
C. Cerrone;17
R. Cerulli;17
S. Silvestri;17
F. Carrabs;18
R. Cerulli;18
R. Pentangelo;18
A. Raiconi;18
F. Carrabs;19
R. Cerulli;19
R. Pentangelo;19
A. Raiconi;19


